# Which convention versions from the claude dotfiles repo this repo has decided.
# Written only by /adopt, and only after the step's own verify passed in the same run.
# version	slug	state	date	note
1	memos-directory	applied	2026-09-15	nothing to read back from HEAD — HEAD does not carry .claude/memos.md — so the shape above is the whole assertion; committing the migration is what takes the pre-migration file out of HEAD
2	gitignore-unhides-committed	applied	2026-09-15	none of the 5 required paths is ignored: .claude/settings.json, .claude/memory/, .claude/memos/, .claude/conventions.tsv, config/publish.env
3	gitignore-scope-global	applied	2026-09-15	1 line(s) deleted from 1 committed .gitignore file(s) (.claude/settings.local.json); each of the 1 path(s) they hid asserted still ignored afterwards
4	memory-cache-symlink	applied	2026-09-15	this machine's memory cache for this repo is a link to .claude/memory/, asserted with samefile rather than a path string, so a copy standing in for the link would have failed it
5	memory-file-shape	applied	2026-09-15	2 memory file(s) under .claude/memory/, each opening with ---, and 2 link(s) in MEMORY.md, each naming a file beside it
6	transcrypt-eol-normalized	applied	2026-09-15	asserted: 1 filter=crypt rule(s) in .gitattributes, each carrying text=auto eol=lf and each resolving to it with the global attributes file suppressed
7	node-engines-declared	n/a	2026-09-15	no package.json outside node_modules/, the other build and dependency trees this step never descends into, and the paths git hides — there is no Node project here to declare a range for
8	engine-strict	n/a	2026-09-15	no package.json here declares engines.node (0 project manifest(s) read), so there is no range for npm to enforce and .npmrc has nothing to make strict
9	package-manager-pin	n/a	2026-09-15	no package.json outside node_modules/, the other build and dependency trees this step never descends into, and the paths git hides — there is no Node project here whose manager could drift
10	license-file-present	applied	2026-09-15	a license is present; which license it is, and whether it suits this repo's visibility, is the half this step leaves to a human
11	docs-theme-pinned	n/a	2026-09-15	no docs/_config.yml in this repo, so it publishes no Jekyll site and there is no theme line to pin; this step never creates one
12	cotenant-service-names	n/a	2026-09-15	no compose file, no .caddy vhost and no config/publish.env: this repo deploys nothing to the shared box today, so it claims no name in a namespace another project writes to
13	commit-checks	n/a	2026-09-15	.claude/commit-checks.sh runs conventions.py selftest (227 assertions), claude/tests/memos.py and claude/tests/ingress-lint.py, plus a report-only skill-tracking audit; a linter is deliberately absent (no lint config here) and the symlink check belongs to check-install.py at session start
14	memos-done-dated	applied	2026-09-15	6 memo(s) in .claude/memos/done/ now open with the date they were closed, read from the commit that put each in done/; each asserted byte-identical at its new name and gone from its old one
